"Acct_new","Recycle","SolidWaste","Opt_out","Open","Click"
"320-0036145",1,1,"","1","1"
"320-0036533",1,1,"","1","1"
"320-0036658",1,1,"","1","1"
"320-0036931",1,1,"","1","1"
"320-0037113",1,1,"","1","1"
"320-0037262",1,1,"","1","1"
"320-0037276",1,1,"","1","1"
"320-0037623",1,1,"","1","1"
"320-0037675",1,1,"","1","1"
"320-0037883",1,1,"","1","1"
"320-0037923",1,1,"","1","1"
"320-0037951",1,1,"","1","1"
"320-0038111",1,1,"","1","1"
"320-0038127",1,1,"","1","1"
"320-0038149",1,1,"","1","1"
"320-0038380",1,1,"","1","1"
"320-0038446",1,1,"","1","0"
"320-0038449",1,1,"","1","1"
"320-0038590",1,1,"","1","1"
"320-0038653",0,1,"","1","1"
"320-0038664",1,1,"","1","1"
"320-0038696",1,1,"","1","1"
"320-0038880",1,1,"","1","1"
"320-0038928",1,1,"","1","1"
"320-0038957",1,1,"","1","1"
"320-0039052",1,1,"","1","1"
"320-0039082",1,1,"","1","1"
"320-0039125",1,1,"","1","1"
"320-0039185",1,1,"","1","1"
"320-0039256",1,1,"","1","1"
"320-0039274",1,1,"","1","1"
"320-0039342",1,1,"","1","1"
"320-0039377",1,1,"","1","1"
"320-0039529",1,1,"","1","1"
"320-0039844",1,1,"","1","1"
"320-0040315",1,1,"","1","0"
"320-0040470",1,1,"","1","1"
"320-0040506",1,1,"","1","1"
"320-0152579",1,1,"","1","1"
"320-0165795",1,1,"","1","1"
"320-0290007",1,1,"","1","1"
"320-0577809",1,1,"","1","1"
"320-0787606",0,1,"","1","1"
"320-0791301",1,1,"","1","1"
"320-0793000",1,1,"","1","1"
"320-0855700",1,1,"","1","1"
"320-0990507",1,1,"","1","0"
"320-1056100",1,1,"","1","1"
"320-1289503",1,1,"","1","1"
"320-1418410",1,1,"","1","1"
"320-1447101",1,1,"","1","1"
"320-1594308",1,1,"","1","1"
"320-3118122",1,1,"","1","1"
"320-5081203",1,1,"","1","1"
"320-5141817",1,1,"","1","1"
"320-5148978",1,1,"","1","1"
"320-5157417",1,1,"","1","1"
"320-5165261",1,1,"","1","1"
"320-5174164",1,1,"","1","1"
"320-5209929",1,1,"","1","1"
"320-5211719",1,1,"","1","1"
"320-5248562",1,1,"","1","1"
"320-5254248",1,1,"","1","1"
"320-5282306",1,1,"","1","1"
"320-5307640",0,1,"","1","1"
"320-5313887",1,1,"","1","1"
"320-5329057",1,1,"","1","0"
"320-5367453",1,1,"","1","1"
"320-5372545",1,1,"","1","0"
"320-5378401",1,1,"","1","1"
"320-5389465",1,1,"","1","1"
"320-5401914",0,1,"","1","1"
"320-5414651",1,1,"","1","1"
"320-5426184",1,1,"","1","1"
"320-5435854",1,1,"","1","1"
"320-5438080",1,1,"","1","1"
"320-5468988",1,1,"","1","1"
"320-5472311",1,1,"","1","0"
"320-5486766",1,1,"","1","1"
"320-5501176",1,1,"","1","1"
"320-5508783",1,1,"","1","1"
"320-5522586",1,1,"","1","1"
"320-5537048",1,1,"","1","1"
"320-5545439",1,1,"","1","1"
"320-5549654",1,1,"","1","1"
"320-5556105",1,1,"","1","1"
"320-5557848",1,1,"","1","1"
"320-5564349",1,1,"","1","1"
"320-5571641",1,1,"","1","0"
"320-5588215",1,1,"","1","1"
"320-5593959",1,1,"","1","1"
"320-5599840",1,1,"","1","0"
"320-5603055",1,1,"","1","1"
"320-5606058",1,1,"","1","1"
"320-5650130",1,1,"","1","1"
"320-5652656",1,1,"","1","1"
"320-5663851",1,1,"","1","1"
"320-5665799",1,1,"","1","1"
"320-5667167",1,1,"","1","1"
"320-5668355",1,1,"","1","1"
"320-5669874",1,1,"","1","1"
"320-5687553",1,1,"","1","1"
"320-5693304",1,1,"","1","1"
"320-5710140",1,1,"","1","1"
"320-5728076",1,1,"","1","0"
"320-5737655",1,1,"","1","1"
"320-5745575",1,1,"","1","1"
"320-5763545",1,1,"","1","1"
"320-5763560",1,1,"","1","1"
"320-5778196",1,1,"","1","1"
"320-5789276",1,1,"","1","1"
"320-5796768",1,1,"","1","1"
"320-5796784",1,1,"","1","1"
"320-5802715",1,1,"","1","1"
"320-5817697",1,1,"","1","1"
"320-5818711",1,1,"","1","1"
"320-5838495",1,1,"","1","1"
"320-5854260",1,1,"","1","1"
"320-5858907",1,1,"","1","1"
"320-5860184",1,1,"","1","1"
"320-5874839",1,1,"","1","0"
"320-5885850",1,1,"","1","1"
"320-5887203",1,1,"","1","1"
"320-5895370",1,1,"","1","1"
"320-5899190",1,1,"","1","1"
"320-5924840",1,1,"","1","1"
"320-5924949",1,1,"","1","0"
"320-5935556",1,1,"","1","1"
"320-5949797",1,1,"","1","1"
"320-5951082",1,1,"","1","1"
"320-5976261",1,1,"","1","1"
"320-6008908",1,1,"","1","0"
"320-6022735",1,1,"","1","1"
"320-6027684",1,1,"","1","1"
"320-6037337",1,1,"","1","1"
"320-6037402",1,1,"","1","1"
"320-6055636",1,1,"","1","1"
"320-6108583",1,1,"","1","1"
"320-6168702",1,1,"","1","0"
"320-6178818",1,1,"","1","1"
"320-6204937",1,1,"","1","1"
"320-6208318",1,1,"","1","1"
"320-6216022",1,1,"","1","1"
"320-6216519",1,1,"","1","0"
"320-6217459",1,1,"","1","0"
"320-6223150",1,1,"","1","1"
"320-6223937",1,1,"","1","1"
"320-6230692",1,1,"","1","1"
"320-6243679",1,1,"","1","1"
"320-6260541",1,1,"","1","1"
"320-6285225",1,1,"","1","1"
"320-6289284",1,1,"","1","1"
"320-6299416",1,1,"","1","1"
"320-6302616",1,1,"","1","1"
"320-6307466",1,1,"","1","1"
"320-6309462",1,1,"","1","0"
"320-6317846",1,1,"","1","1"
"320-6326367",1,1,"","1","1"
"320-6330716",1,1,"","1","0"
"320-6331714",1,1,"","1","1"
"320-6341648",1,1,"","1","1"
"320-6354104",1,1,"","1","1"
"320-6357818",1,1,"","1","1"
"320-6371751",1,1,"","1","0"
"320-6372171",1,1,"","1","1"
"320-6376586",1,1,"","1","1"
"320-6386122",1,1,"","1","1"
"320-6387559",1,1,"","1","1"
"320-6394217",1,1,"","1","1"
"320-6396998",1,1,"","1","1"
"320-6400949",1,1,"","1","1"
"320-6401038",1,1,"","1","0"
"320-6402606",1,1,"","1","1"
"320-6421259",1,1,"","1","0"
"320-6426456",1,1,"","1","0"
"320-6454458",1,1,"","1","1"
"320-6462683",1,1,"","1","1"
"320-6465298",1,1,"","1","1"
"320-6467922",1,1,"","1","1"
"320-6475305",1,1,"","1","1"
"320-6483804",1,1,"","1","1"
"320-6487789",1,1,"","1","1"
"320-6491062",1,1,"","1","0"
"320-6493001",1,1,"","1","1"
"320-6505986",1,1,"","1","0"
"320-6517775",1,1,"","1","1"
"320-6526156",1,1,"","1","1"
"320-6530257",1,1,"","1","0"
"320-6535009",1,1,"","1","1"
"320-6535199",1,1,"","1","1"
"320-6535249",1,1,"","1","1"
"320-6546402",1,1,"","1","1"
"320-6546576",1,1,"","1","1"
"320-6550263",1,1,"","1","1"
"320-6561047",1,1,"","1","0"
"320-6565196",1,1,"","1","1"
"320-6570444",1,1,"","1","0"
"320-6575898",1,1,"","1","1"
"320-6579551",1,1,"","1","1"
"320-6588644",1,1,"","1","0"
"320-6591259",1,1,"","1","1"
