"Acct_new","Recycle","SolidWaste","Opt_out","Open","Click"
"320-0030171",1,1,"","1","0"
"320-0030196",1,1,"","1","1"
"320-0030198",1,1,"","1","0"
"320-0030219",1,1,"","1","1"
"320-0030230",1,1,"","1","1"
"320-0030236",1,1,"","1","1"
"320-0030252",1,1,"","1","1"
"320-0030255",1,1,"","1","0"
"320-0030290",1,1,"","1","1"
"320-0030298",1,1,"","1","1"
"320-0030304",1,1,"","1","1"
"320-0030310",1,1,"","1","1"
"320-0030314",1,1,"","1","1"
"320-0030328",1,1,"","1","1"
"320-0030338",1,1,"","1","0"
"320-0030376",1,1,"","1","0"
"320-0030385",1,1,"","1","1"
"320-0030390",1,1,"","1","0"
"320-0030400",1,1,"","1","1"
"320-0030401",1,1,"","1","0"
"320-0030403",1,1,"","1","0"
"320-0030409",1,1,"","1","1"
"320-0030414",1,1,"","1","1"
"320-0030446",1,1,"","1","1"
"320-0030464",1,1,"","1","0"
"320-0030499",1,1,"","1","0"
"320-0030519",1,1,"","1","1"
"320-0030525",1,1,"","1","0"
"320-0030537",1,1,"","1","0"
"320-0030544",1,1,"","1","1"
"320-0030547",1,1,"","1","1"
"320-0030556",1,1,"","1","0"
"320-0030603",1,1,"","1","1"
"320-0030633",1,1,"","1","0"
"320-0030646",1,1,"","1","0"
"320-0030655",1,1,"","1","0"
"320-0030660",1,1,"","1","1"
"320-0030674",1,1,"","1","0"
"320-0030679",1,1,"","1","0"
"320-0030705",1,1,"","1","0"
"320-0030710",1,1,"","1","0"
"320-0030745",1,1,"","1","1"
"320-0030765",1,1,"","1","1"
"320-0030785",0,1,"","1","1"
"320-0030793",1,1,"","1","0"
"320-0030798",1,1,"","1","0"
"320-0030806",1,1,"","1","0"
"320-0030807",1,1,"","1","0"
"320-0030817",1,1,"","1","1"
"320-0030819",1,1,"","1","0"
"320-0030823",1,1,"","1","0"
"320-0030832",1,1,"","1","1"
"320-0030849",1,1,"","1","0"
"320-0030915",1,1,"","1","1"
"320-0030920",1,1,"","1","0"
"320-0030922",1,1,"","1","0"
"320-0030941",1,1,"","1","1"
"320-0030945",1,1,"","1","1"
"320-0030961",1,1,"","1","0"
"320-0030969",1,1,"","1","1"
"320-0030981",1,1,"","1","0"
"320-0030989",1,1,"","1","1"
"320-0030991",1,1,"","1","0"
"320-0031018",1,1,"","1","1"
"320-0031058",1,1,"","1","0"
"320-0031080",1,1,"","1","1"
"320-0031091",1,1,"","1","0"
"320-0031113",1,1,"","1","1"
"320-0031114",1,1,"","1","0"
"320-0031141",1,1,"","1","0"
"320-0031147",1,1,"","1","0"
"320-0031163",1,1,"","1","1"
"320-0031188",1,1,"","1","0"
"320-0031224",1,1,"","1","1"
"320-0031253",1,1,"","1","1"
"320-0031278",1,1,"","1","0"
"320-0031303",1,1,"","1","0"
"320-0031336",1,1,"","1","0"
"320-0031342",1,1,"","1","1"
"320-0031359",1,1,"","1","0"
"320-0031365",1,1,"","1","0"
"320-0031381",1,1,"","1","1"
"320-0031382",1,1,"","1","0"
"320-0031397",1,1,"","1","1"
"320-0031399",1,1,"","1","1"
"320-0031424",1,1,"","1","1"
"320-0031459",1,1,"","1","1"
"320-0031488",1,1,"","1","1"
"320-0031494",1,1,"","1","1"
"320-0031501",1,1,"","1","1"
"320-0031525",1,1,"","1","0"
"320-0031533",1,1,"","1","0"
"320-0031540",1,1,"","1","0"
"320-0031556",1,1,"","1","1"
"320-0031568",1,1,"","1","1"
"320-0031601",1,1,"","1","0"
"320-0031618",1,1,"","1","0"
"320-0031642",1,1,"","1","0"
"320-0031643",1,1,"","1","1"
"320-0031644",1,1,"","1","0"
"320-0031676",1,1,"","1","1"
"320-0031689",1,1,"","1","0"
"320-0031690",1,1,"","1","1"
"320-0031697",1,1,"","1","0"
"320-0031720",1,1,"","1","1"
"320-0031728",1,1,"","1","0"
"320-0031740",1,1,"","1","0"
"320-0031751",1,1,"","1","0"
"320-0031758",1,1,"","1","0"
"320-0031778",1,1,"","1","1"
"320-0031815",1,1,"","1","1"
"320-0031834",1,1,"","1","0"
"320-0031847",1,1,"","1","1"
"320-0031857",1,1,"","1","1"
"320-0031863",1,1,"","1","1"
"320-0031906",1,1,"","1","0"
"320-0031914",1,1,"","1","1"
"320-0031924",1,1,"","1","0"
"320-0031944",1,1,"","1","1"
"320-0031945",1,1,"","1","1"
"320-0031954",1,1,"","1","0"
"320-0031964",1,1,"","1","0"
"320-0032017",1,1,"","1","0"
"320-0032047",1,1,"","1","0"
"320-0032088",1,1,"","1","1"
"320-0032090",1,1,"","1","0"
"320-0032098",1,1,"","1","1"
"320-0032103",1,1,"","1","1"
"320-0032121",1,1,"","1","1"
"320-0032129",1,1,"","1","1"
"320-0032130",1,1,"","1","0"
"320-0032154",1,1,"","1","1"
"320-0032171",1,1,"","1","0"
"320-0032186",1,1,"","1","1"
"320-0032207",1,1,"","1","0"
"320-0032211",1,1,"","1","0"
"320-0032224",1,1,"","1","0"
"320-0032309",1,1,"","1","0"
"320-0032311",1,1,"","1","1"
"320-0032313",1,1,"","1","0"
"320-0032338",1,1,"","1","0"
"320-0032343",1,1,"","1","1"
"320-0032347",1,1,"","1","1"
"320-0032348",1,1,"","1","1"
"320-0032360",1,1,"","1","1"
"320-0032367",1,1,"","1","1"
"320-0032369",1,1,"","1","0"
"320-0032389",1,1,"","1","0"
"320-0032402",1,1,"","1","1"
"320-0032411",1,1,"","1","0"
"320-0032439",1,1,"","1","0"
"320-0032450",1,1,"","1","0"
"320-0032451",1,1,"","1","0"
"320-0032464",1,1,"","1","0"
"320-0032482",1,1,"","1","1"
"320-0032486",1,1,"","1","0"
"320-0032521",1,1,"","1","1"
"320-0032535",1,1,"","1","0"
"320-0032537",1,1,"","1","0"
"320-0032538",1,1,"","1","1"
"320-0032546",1,1,"","1","0"
"320-0032581",1,1,"","1","1"
"320-0032623",1,1,"","1","1"
"320-0032624",1,1,"","1","1"
"320-0032650",1,1,"","1","1"
"320-0032652",1,1,"","1","0"
"320-0032659",1,1,"","1","1"
"320-0032716",1,1,"","1","1"
"320-0032733",0,1,"","1","1"
"320-0032739",1,1,"","1","1"
"320-0032760",1,1,"","1","0"
"320-0032792",1,1,"","1","0"
"320-0032830",1,1,"","1","0"
"320-0032836",1,1,"","1","1"
"320-0032842",1,1,"","1","0"
"320-0032856",1,1,"","1","1"
"320-0032875",1,1,"","1","0"
"320-0032895",1,1,"","1","0"
"320-0032898",1,1,"","1","0"
"320-0032909",1,1,"","1","1"
"320-0032928",1,1,"","1","1"
"320-0032966",1,1,"","1","0"
"320-0032969",1,1,"","1","0"
"320-0032970",1,1,"","1","1"
"320-0032980",1,1,"","1","1"
"320-0033000",1,1,"","1","0"
"320-0033005",1,1,"","1","0"
"320-0033059",1,1,"","1","1"
"320-0033063",1,1,"","1","1"
"320-0033088",1,1,"","1","1"
"320-0033095",1,1,"","1","0"
"320-0033103",1,1,"","1","1"
"320-0033109",1,1,"","1","0"
"320-0033117",1,1,"","1","1"
"320-0033134",1,1,"","1","1"
"320-0033138",1,1,"","1","1"
"320-0033180",1,1,"","1","0"
"320-0033194",1,1,"","1","1"
"320-0033208",1,1,"","1","1"
"320-0033232",1,1,"","1","0"
"320-0033243",1,1,"","1","0"
"320-0033254",1,1,"","1","1"
"320-0033262",1,1,"","1","1"
"320-0033305",1,1,"","1","1"
"320-0033348",1,1,"","1","1"
"320-0033383",1,1,"","1","0"
"320-0033414",1,1,"","1","0"
"320-0033454",1,1,"","1","1"
"320-0033457",1,1,"","1","1"
"320-0033465",1,1,"","1","1"
"320-0033487",1,1,"","1","1"
"320-0033532",1,1,"","1","0"
"320-0033535",1,1,"","1","1"
"320-0033552",1,1,"","1","0"
"320-0033630",1,1,"","1","1"
"320-0033706",1,1,"","1","1"
"320-0033764",1,1,"","1","1"
"320-0033784",1,1,"","1","0"
"320-0033794",1,1,"","1","0"
"320-0033810",1,1,"","1","1"
"320-0033973",1,1,"","1","0"
"320-0033984",1,1,"","1","1"
"320-0034010",1,1,"","1","0"
"320-0034014",1,1,"","1","0"
"320-0034022",1,1,"","1","0"
"320-0034052",1,1,"","1","0"
"320-0034091",1,1,"","1","0"
"320-0034251",1,1,"","1","0"
"320-0034275",1,1,"","1","1"
"320-0034286",1,1,"","1","1"
"320-0034340",1,1,"","1","0"
"320-0034348",1,1,"","1","0"
"320-0034349",1,1,"","1","1"
"320-0034430",1,1,"","1","1"
"320-0034484",1,1,"","1","0"
"320-0034499",1,1,"","1","1"
"320-0034528",1,1,"","1","0"
"320-0034587",1,1,"","1","1"
"320-0034831",1,1,"","1","1"
"320-0034906",1,1,"","1","1"
"320-0034960",1,1,"","1","1"
"320-0034976",1,1,"","1","1"
"320-0035081",1,1,"","1","0"
"320-0035161",1,1,"","1","0"
"320-0035194",1,1,"","1","1"
"320-0035242",1,1,"","1","1"
"320-0035269",1,1,"","1","1"
"320-0035279",1,1,"","1","1"
"320-0035284",1,1,"","1","0"
"320-0035288",1,1,"","1","0"
"320-0035382",1,1,"","1","1"
"320-0035406",1,1,"","1","1"
"320-0035428",1,1,"","1","0"
"320-0035450",1,1,"","1","1"
"320-0035496",1,1,"","1","0"
"320-0035547",1,1,"","1","0"
"320-0035562",1,1,"","1","1"
"320-0035634",0,1,"","1","0"
"320-0035652",1,1,"","1","1"
"320-0035728",1,1,"","1","1"
"320-0035734",1,1,"","1","0"
"320-0035802",1,1,"","1","0"
"320-0035811",1,1,"","1","0"
"320-0035839",1,1,"","1","0"
"320-0035854",1,1,"","1","1"
"320-0035855",1,1,"","1","1"
"320-0035873",1,1,"","1","0"
"320-0035875",1,1,"","1","1"
"320-0035893",1,1,"","1","0"
"320-0035927",1,1,"","1","1"
"320-0035928",1,1,"","1","1"
"320-0035937",1,1,"","1","1"
"320-0035951",1,1,"","1","0"
"320-0035956",1,1,"","1","1"
"320-0035978",1,1,"","1","1"
"320-0035989",1,1,"","1","1"
"320-0035993",1,1,"","1","1"
"320-0036013",1,1,"","1","0"
"320-0036030",1,1,"","1","1"
"320-0036031",1,1,"","1","0"
"320-0036035",1,1,"","1","1"
"320-0036046",1,1,"","1","0"
"320-0036050",1,1,"","1","0"
"320-0036053",1,1,"","1","0"
"320-0036059",1,1,"","1","0"
"320-0036060",1,1,"","1","1"
"320-0036080",1,1,"","1","1"
"320-0036089",1,1,"","1","0"
"320-0036091",1,1,"","1","0"
"320-0036107",1,1,"","1","0"
"320-0036131",1,1,"","1","1"
"320-0036142",1,1,"","1","0"
"320-0036161",1,1,"","1","1"
"320-0036179",1,1,"","1","0"
"320-0036183",1,1,"","1","1"
"320-0036184",1,1,"","1","0"
"320-0036186",1,1,"","1","0"
"320-0036188",1,1,"","1","0"
"320-0036193",1,1,"","1","1"
"320-0036208",1,1,"","1","1"
"320-0036216",1,1,"","1","1"
"320-0036218",1,1,"","1","1"
"320-0036220",1,1,"","1","0"
"320-0036222",1,1,"","1","1"
"320-0036227",1,1,"","1","0"
"320-0036228",1,1,"","1","1"
"320-0036247",1,1,"","1","1"
"320-0036257",1,1,"","1","0"
"320-0036288",1,1,"","1","0"
"320-0036289",1,1,"","1","0"
"320-0036318",1,1,"","1","1"
"320-0036339",1,1,"","1","0"
"320-0036346",1,1,"","1","1"
"320-0036351",1,1,"","1","0"
"320-0036382",1,1,"","1","0"
"320-0036398",1,1,"","1","1"
"320-0036401",1,1,"","1","0"
"320-0036409",1,1,"","1","1"
"320-0036421",1,1,"","1","1"
"320-0036422",1,1,"","1","0"
"320-0036423",1,1,"","1","1"
"320-0036446",1,1,"","1","0"
"320-0036447",1,1,"","1","0"
"320-0036464",1,1,"","1","1"
"320-0036471",1,1,"","1","1"
"320-0036472",1,1,"","1","0"
"320-0036496",1,1,"","1","0"
"320-0036538",1,1,"","1","0"
"320-0036544",1,1,"","1","1"
"320-0036554",1,1,"","1","1"
"320-0036576",1,1,"","1","0"
"320-0036602",1,1,"","1","1"
"320-0036608",1,1,"","1","1"
"320-0036633",1,1,"","1","1"
"320-0036639",1,1,"","1","1"
"320-0036648",1,1,"","1","1"
"320-0036666",0,1,"","1","1"
"320-0036679",1,1,"","1","0"
"320-0036685",1,1,"","1","0"
"320-0036702",1,1,"","1","0"
"320-0036715",1,1,"","1","0"
"320-0036716",1,1,"","1","0"
"320-0036722",1,1,"","1","1"
"320-0036724",1,1,"","1","0"
"320-0036745",1,1,"","1","0"
"320-0036749",1,1,"","1","1"
"320-0036772",1,1,"","1","0"
"320-0036777",1,1,"","1","0"
"320-0036801",1,1,"","1","1"
"320-0036827",1,1,"","1","0"
"320-0036837",1,1,"","1","0"
"320-0036843",1,1,"","1","0"
"320-0036847",1,1,"","1","0"
"320-0036860",1,1,"","1","0"
"320-0036872",1,1,"","1","0"
"320-0036883",1,1,"","1","0"
"320-0036890",1,1,"","1","0"
"320-0036925",1,1,"","1","0"
"320-0036938",1,1,"","1","1"
"320-0036951",1,1,"","1","1"
"320-0036954",1,1,"","1","1"
"320-0036955",1,1,"","1","0"
"320-0036957",1,1,"","1","1"
"320-0036989",1,1,"","1","0"
"320-0037011",1,1,"","1","1"
"320-0037013",1,1,"","1","1"
"320-0037072",1,1,"","1","0"
"320-0037075",1,1,"","1","1"
"320-0037081",1,1,"","1","0"
"320-0037105",1,1,"","1","1"
"320-0037115",1,1,"","1","0"
"320-0037158",1,1,"","1","0"
"320-0037168",1,1,"","1","1"
"320-0037187",1,1,"","1","1"
"320-0037205",1,1,"","1","0"
"320-0037213",1,1,"","1","1"
"320-0037232",1,1,"","1","1"
"320-0037240",1,1,"","1","1"
"320-0037265",1,1,"","1","0"
"320-0037291",1,1,"","1","1"
"320-0037309",1,1,"","1","1"
"320-0037310",1,1,"","1","1"
"320-0037312",1,1,"","1","1"
"320-0037332",1,1,"","1","0"
"320-0037336",1,1,"","1","0"
"320-0037366",1,1,"","1","1"
"320-0037392",1,1,"","1","0"
"320-0037409",1,1,"","1","1"
"320-0037432",1,1,"","1","0"
"320-0037434",1,1,"","1","0"
"320-0037448",1,1,"","1","0"
"320-0037465",1,1,"","1","0"
"320-0037469",1,1,"","1","1"
"320-0037472",1,1,"","1","0"
"320-0037478",1,1,"","1","0"
"320-0037488",1,1,"","1","0"
"320-0037491",1,1,"","1","0"
"320-0037502",1,1,"","1","0"
"320-0037513",1,1,"","1","0"
"320-0037529",1,1,"","1","0"
"320-0037551",1,1,"","1","0"
"320-0037559",1,1,"","1","1"
"320-0037573",1,1,"","1","0"
"320-0037578",1,1,"","1","0"
"320-0037591",1,1,"","1","1"
"320-0037603",1,1,"","1","1"
"320-0037605",1,1,"","1","0"
"320-0037626",1,1,"","1","0"
"320-0037659",1,1,"","1","0"
"320-0037663",1,1,"","1","1"
"320-0037674",1,1,"","1","0"
"320-0037694",1,1,"","1","1"
"320-0037743",1,1,"","1","1"
"320-0037747",1,1,"","1","0"
"320-0037761",1,1,"","1","0"
"320-0037763",1,1,"","1","1"
"320-0037785",1,1,"","1","1"
"320-0037790",1,1,"","1","0"
"320-0037800",1,1,"","1","1"
"320-0037816",1,1,"","1","0"
"320-0037852",1,1,"","1","0"
"320-0037853",1,1,"","1","0"
"320-0037868",1,1,"","1","1"
"320-0037876",1,1,"","1","0"
"320-0037897",1,1,"","1","1"
"320-0037904",1,1,"","1","1"
"320-0037918",1,1,"","1","0"
"320-0037921",1,1,"","1","0"
"320-0037925",1,1,"","1","1"
"320-0037928",1,1,"","1","1"
"320-0037931",1,1,"","1","0"
"320-0037960",1,1,"","1","1"
"320-0037964",1,1,"","1","0"
"320-0037969",1,1,"","1","1"
"320-0037973",1,1,"","1","1"
"320-0037975",1,1,"","1","1"
"320-0037987",1,1,"","1","0"
"320-0038011",1,1,"","1","1"
"320-0038031",1,1,"","1","1"
"320-0038038",1,1,"","1","1"
"320-0038051",1,1,"","1","1"
"320-0038070",1,1,"","1","1"
"320-0038079",1,1,"","1","0"
"320-0038084",1,1,"","1","1"
"320-0038106",1,1,"","1","0"
"320-0038110",1,1,"","1","1"
"320-0038115",0,1,"","1","1"
"320-0038129",1,1,"","1","1"
"320-0038136",1,1,"","1","1"
"320-0038144",1,1,"","1","0"
"320-0038164",1,1,"","1","1"
"320-0038172",1,1,"","1","1"
"320-0038174",1,1,"","1","0"
"320-0038178",1,1,"","1","1"
"320-0038181",1,1,"","1","0"
"320-0038189",1,1,"","1","1"
"320-0038193",1,1,"","1","1"
"320-0038195",1,1,"","1","0"
"320-0038208",1,1,"","1","0"
"320-0038220",1,1,"","1","1"
"320-0038226",1,1,"","1","0"
"320-0038230",1,1,"","1","0"
"320-0038234",1,1,"","1","0"
"320-0038266",1,1,"","1","0"
"320-0038270",1,1,"","1","0"
"320-0038290",1,1,"","1","1"
"320-0038294",0,1,"","1","1"
"320-0038309",1,1,"","1","0"
"320-0038311",1,1,"","1","0"
"320-0038322",1,1,"","1","1"
"320-0038346",1,1,"","1","0"
"320-0038351",1,1,"","1","0"
"320-0038357",1,1,"","1","1"
"320-0038378",1,1,"","1","1"
"320-0038399",1,1,"","1","1"
"320-0038402",1,1,"","1","1"
"320-0038419",1,1,"","1","1"
"320-0038426",1,1,"","1","1"
"320-0038440",1,1,"","1","1"
"320-0038445",1,1,"","1","0"
"320-0038464",1,1,"","1","1"
"320-0038465",1,1,"","1","1"
"320-0038482",1,1,"","1","0"
"320-0038485",1,1,"","1","0"
"320-0038496",1,1,"","1","1"
"320-0038502",1,1,"","1","0"
"320-0038543",1,1,"","1","0"
"320-0038567",1,1,"","1","1"
"320-0038573",1,1,"","1","1"
"320-0038596",1,1,"","1","0"
"320-0038597",1,1,"","1","0"
"320-0038598",1,1,"","1","0"
"320-0038660",1,1,"","1","0"
"320-0038675",1,1,"","1","0"
"320-0038683",1,1,"","1","0"
"320-0038686",1,1,"","1","0"
"320-0038692",1,1,"","1","0"
"320-0038697",1,1,"","1","1"
"320-0038704",1,1,"","1","0"
"320-0038711",1,1,"","1","0"
"320-0038722",1,1,"","1","1"
"320-0038742",1,1,"","1","1"
"320-0038767",1,1,"","1","0"
"320-0038807",1,1,"","1","0"
"320-0038821",1,1,"","1","1"
"320-0038832",1,1,"","1","0"
"320-0038838",1,1,"","1","1"
"320-0038871",1,1,"","1","1"
"320-0038886",1,1,"","1","0"
"320-0038915",1,1,"","1","0"
"320-0038935",1,1,"","1","0"
"320-0038946",1,1,"","1","1"
"320-0038984",1,1,"","1","1"
"320-0039018",1,1,"","1","0"
"320-0039023",1,1,"","1","0"
"320-0039030",1,1,"","1","1"
"320-0039038",1,1,"","1","0"
"320-0039043",1,1,"","1","0"
"320-0039049",1,1,"","1","1"
"320-0039050",1,1,"","1","0"
"320-0039051",1,1,"","1","0"
"320-0039057",1,1,"","1","0"
"320-0039058",1,1,"","1","1"
"320-0039060",1,1,"","1","0"
"320-0039063",1,1,"","1","1"
"320-0039083",1,1,"","1","1"
"320-0039090",1,1,"","1","1"
"320-0039099",1,1,"","1","0"
"320-0039101",1,1,"","1","0"
"320-0039103",1,1,"","1","1"
"320-0039110",1,1,"","1","0"
"320-0039117",1,1,"","1","0"
"320-0039120",1,1,"","1","1"
"320-0039121",1,1,"","1","0"
"320-0039133",1,1,"","1","0"
"320-0039141",1,1,"","1","0"
"320-0039172",1,1,"","1","0"
"320-0039175",1,1,"","1","1"
"320-0039201",1,1,"","1","0"
"320-0039211",1,1,"","1","0"
"320-0039214",1,1,"","1","0"
"320-0039225",1,1,"","1","0"
"320-0039254",1,1,"","1","1"
"320-0039290",1,1,"","1","0"
"320-0039303",1,1,"","1","0"
"320-0039318",1,1,"","1","0"
"320-0039324",1,1,"","1","0"
"320-0039339",1,1,"","1","0"
"320-0039352",1,1,"","1","0"
"320-0039356",1,1,"","1","0"
"320-0039358",1,1,"","1","0"
"320-0039370",1,1,"","1","1"
"320-0039393",1,1,"","1","1"
"320-0039474",1,1,"","1","1"
"320-0039478",1,1,"","1","1"
"320-0039534",1,1,"","1","0"
"320-0039583",1,1,"","1","1"
"320-0039584",1,1,"","1","0"
"320-0039596",1,1,"","1","0"
"320-0039709",1,1,"","1","1"
"320-0039790",1,1,"","1","0"
"320-0039841",1,1,"","1","1"
"320-0039918",1,1,"","1","0"
"320-0039951",1,1,"","1","0"
"320-0039970",1,1,"","1","0"
"320-0039982",1,1,"","1","0"
"320-0040002",1,1,"","1","1"
"320-0040124",1,1,"","1","0"
"320-0040151",1,1,"","1","1"
"320-0040189",1,1,"","1","0"
"320-0040205",1,1,"","1","0"
"320-0040231",1,1,"","1","0"
"320-0040237",1,1,"","1","1"
"320-0040281",1,1,"","1","0"
"320-0040291",1,1,"","1","1"
"320-0040299",1,1,"","1","0"
"320-0040331",1,1,"","1","1"
"320-0040332",1,1,"","1","0"
"320-0040408",1,1,"","1","1"
"320-0040412",1,1,"","1","0"
"320-0040439",1,1,"","1","0"
"320-0040448",1,1,"","1","0"
"320-0040455",1,1,"","1","1"
"320-0040474",1,1,"","1","0"
"320-0040480",1,1,"","1","0"
"320-0040482",1,1,"","1","1"
"320-0040494",1,1,"","1","1"
"320-0040507",1,1,"","1","1"
"320-0040509",1,1,"","1","0"
"320-0040510",1,1,"","1","1"
"320-0040523",1,1,"","1","1"
"320-0040524",1,1,"","1","1"
"320-0040548",1,1,"","1","0"
"320-0040553",1,1,"","1","0"
"320-0040557",1,1,"","1","0"
"320-0040577",1,1,"","1","1"
"320-0040589",1,1,"","1","1"
"320-0040623",1,1,"","1","0"
"320-0040628",1,1,"","1","0"
"320-0040629",1,1,"","1","1"
"320-0040631",1,1,"","1","0"
"320-0040641",1,1,"","1","1"
"320-0040651",1,1,"","1","0"
"320-0040655",1,1,"","1","0"
"320-0040659",1,1,"","1","1"
"320-0040664",1,1,"","1","0"
"320-0040669",1,1,"","1","0"
"320-0040681",1,1,"","1","0"
"320-0040713",1,1,"","1","0"
"320-0040728",1,1,"","1","1"
"320-0040761",1,1,"","1","1"
"320-0040762",0,1,"","1","0"
"320-0040829",0,1,"","1","0"
"320-0044461",1,1,"","1","1"
"320-0047984",1,1,"","1","1"
"320-0063727",1,1,"","1","1"
"320-0086901",1,1,"","1","0"
"320-0096909",1,1,"","1","0"
"320-0106302",1,1,"","1","0"
"320-0119404",1,1,"","1","0"
"320-0128306",1,1,"","1","1"
"320-0135608",1,1,"","1","0"
"320-0138008",1,1,"","1","1"
"320-0143404",1,1,"","1","1"
"320-0153718",1,1,"","1","1"
"320-0155721",1,1,"","1","0"
"320-0159970",1,1,"","1","1"
"320-0161554",1,1,"","1","0"
"320-0163352",1,1,"","1","1"
"320-0167833",1,1,"","1","1"
"320-0169409",1,1,"","1","0"
"320-0176107",1,1,"","1","1"
"320-0186403",1,1,"","1","0"
"320-0190504",1,1,"","1","0"
"320-0219105",1,1,"","1","0"
"320-0223305",1,1,"","1","1"
"320-0227900",1,1,"","1","1"
"320-0228007",1,1,"","1","0"
"320-0230904",1,1,"","1","0"
"320-0232900",1,1,"","1","1"
"320-0242206",1,1,"","1","0"
"320-0253401",1,1,"","1","1"
"320-0255604",1,1,"","1","0"
"320-0275503",1,1,"","1","0"
"320-0281501",1,1,"","1","0"
"320-0305904",1,1,"","1","1"
"320-0313205",1,1,"","1","0"
"320-0339606",1,1,"","1","1"
"320-0347807",1,1,"","1","1"
"320-0355800",1,1,"","1","0"
"320-0389403",1,1,"","1","1"
"320-0391706",1,1,"","1","1"
"320-0402305",0,1,"","1","1"
"320-0403204",1,1,"","1","1"
"320-0407700",1,1,"","1","1"
"320-0419507",1,1,"","1","1"
"320-0434209",1,1,"","1","1"
"320-0445908",1,1,"","1","1"
"320-0477000",1,1,"","1","1"
"320-0532408",1,1,"","1","0"
"320-0547901",1,1,"","1","0"
"320-0560409",1,1,"","1","0"
"320-0580704",1,1,"","1","0"
"320-0628305",1,1,"","1","1"
"320-0630004",1,1,"","1","0"
"320-0634105",1,1,"","1","1"
"320-0708800",1,1,"","1","0"
"320-0709303",1,1,"","1","1"
"320-0722009",1,1,"","1","0"
"320-0758904",1,1,"","1","1"
"320-0773002",1,1,"","1","1"
"320-0784702",1,1,"","1","0"
"320-0812107",1,1,"","1","0"
"320-0812503",1,1,"","1","0"
"320-0835603",1,1,"","1","1"
"320-0862607",1,1,"","1","0"
"320-0881102",1,1,"","1","1"
"320-0889808",1,1,"","1","0"
"320-1004605",1,1,"","1","0"
"320-1012905",1,1,"","1","1"
"320-1055805",1,1,"","1","0"
"320-1057504",1,1,"","1","1"
"320-1060508",1,1,"","1","1"
"320-1067207",1,1,"","1","1"
"320-1085448",1,1,"","1","0"
"320-1087600",1,1,"","1","0"
"320-1088806",1,1,"","1","1"
"320-1102896",1,1,"","1","1"
"320-1103648",1,1,"","1","1"
"320-1106202",1,1,"","1","0"
"320-1106327",1,1,"","1","1"
"320-1120559",0,1,"","1","1"
"320-1120690",1,1,"","1","1"
"320-1180108",1,1,"","1","0"
"320-1245802",1,1,"","1","0"
"320-1248103",1,1,"","1","1"
"320-1261700",1,1,"","1","0"
"320-1266403",1,1,"","1","1"
"320-1266808",1,1,"","1","0"
"320-1277102",1,1,"","1","1"
"320-1281203",1,1,"","1","1"
"320-1328806",1,1,"","1","1"
"320-1412402",1,1,"","1","1"
"320-1434110",1,1,"","1","1"
"320-1510403",1,1,"","1","0"
"320-1528504",1,1,"","1","0"
"320-1572304",1,1,"","1","1"
"320-1584507",1,1,"","1","0"
"320-1606003",1,1,"","1","0"
"320-3014859",1,1,"","1","0"
"320-3017902",1,1,"","1","0"
"320-3029626",1,1,"","1","1"
"320-3074374",1,1,"","1","1"
"320-3077500",1,1,"","1","1"
"320-3164688",1,1,"","1","1"
"320-3164704",1,1,"","1","1"
"320-3174075",1,1,"","1","1"
"320-3190105",1,1,"","1","1"
"320-3256500",1,1,"","1","0"
"320-3257656",1,1,"","1","0"
"320-5004940",1,1,"","1","0"
"320-5006408",1,1,"","1","1"
"320-5008982",1,1,"","1","0"
"320-5011986",1,1,"","1","1"
"320-5012455",1,1,"","1","0"
"320-5018585",1,1,"","1","1"
"320-5020573",1,1,"","1","1"
"320-5023684",1,1,"","1","1"
"320-5025002",1,1,"","1","1"
"320-5032883",1,1,"","1","1"
"320-5036074",1,1,"","1","1"
"320-5039441",1,1,"","1","0"
"320-5043450",1,1,"","1","1"
"320-5047105",1,1,"","1","1"
"320-5069984",1,1,"","1","0"
"320-5071659",1,1,"","1","1"
"320-5072004",1,1,"","1","0"
"320-5072509",1,1,"","1","1"
"320-5073523",1,1,"","1","0"
"320-5082250",1,1,"","1","0"
"320-5084652",1,1,"","1","0"
"320-5084959",1,1,"","1","0"
"320-5087960",1,1,"","1","1"
"320-5096318",1,1,"","1","0"
"320-5098231",1,1,"","1","0"
"320-5100169",1,1,"","1","0"
"320-5100987",1,1,"","1","1"
"320-5104427",1,1,"","1","0"
"320-5105663",1,1,"","1","0"
"320-5115126",1,1,"","1","0"
"320-5118161",1,1,"","1","1"
"320-5121850",1,1,"","1","0"
"320-5127634",1,1,"","1","1"
"320-5128699",1,1,"","1","1"
"320-5129150",1,1,"","1","0"
"320-5131230",1,1,"","1","0"
"320-5131974",1,1,"","1","0"
"320-5133913",1,1,"","1","0"
"320-5134796",1,1,"","1","1"
"320-5137864",1,1,"","1","1"
"320-5137989",1,1,"","1","1"
"320-5138052",1,1,"","1","0"
"320-5138896",1,1,"","1","0"
"320-5139324",1,1,"","1","1"
"320-5140256",1,1,"","1","1"
"320-5144811",1,1,"","1","0"
"320-5145917",1,1,"","1","0"
"320-5151907",1,1,"","1","1"
"320-5154794",1,1,"","1","0"
"320-5155676",1,1,"","1","1"
"320-5157375",1,1,"","1","1"
"320-5164298",1,1,"","1","1"
"320-5171715",1,1,"","1","0"
"320-5172978",1,1,"","1","0"
"320-5173273",1,1,"","1","1"
"320-5173836",1,1,"","1","1"
